index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
184,5,12153,22130,5,12251,22104,5,13065,23211,5,13275,23311
185,5,12784,22718,5,12553,22710,5,14034,24185,5,13913,24303
186,4,11805,21566,4,11966,21536,4,12653,22558,4,12926,22662
187,4,12271,22378,4,12368,22348,4,13183,23454,4,13400,23548
188,5,12131,22086,5,12229,22060,5,13043,23167,5,13253,23267
189,5,12129,22082,5,12227,22056,5,13041,23163,5,13251,23263
190,4,12224,22310,4,12335,22280,4,13122,23370,4,13351,23464
191,5,12787,22724,5,12560,22724,5,14037,24191,5,13920,24317
192,4,12269,22374,4,12366,22344,4,13181,23450,4,13398,23544
193,6,12876,22668,6,12541,22682,6,14240,24272,6,14013,24410
194,4,12210,22376,4,12371,22346,4,13058,23368,4,13331,23472
195,5,12791,22732,5,12560,22724,5,14041,24199,5,13920,24317
196,6,12924,22764,6,12587,22774,6,14288,24368,6,14059,24502
197,6,12747,22694,6,12541,22682,6,13971,24142,6,13869,24236
198,6,12910,22736,6,12576,22752,6,14274,24340,6,14048,24480
199,6,12779,22570,6,12490,22578,6,14095,24122,6,13910,24244
200,6,12849,22710,6,12555,22708,6,14165,24262,6,13975,24376
201,6,12899,22810,6,12602,22802,6,14215,24362,6,14022,24468
202,5,11985,21794,5,12083,21768,5,12897,22875,5,13107,22975
203,4,12226,22408,4,12387,22378,4,13074,23400,4,13347,23504
204,4,12193,22222,4,12290,22192,4,13105,23298,4,13322,23392
205,4,12369,22574,4,12466,22544,4,13281,23650,4,13498,23744
206,4,11816,21588,4,11977,21558,4,12664,22580,4,12937,22684
207,5,12842,22834,5,12611,22826,5,14092,24301,5,13971,24419
208,6,12775,22750,6,12569,22738,6,13999,24198,6,13897,24292
209,6,12917,22846,6,12624,22846,6,14233,24398,6,14044,24514
210,4,11880,21706,4,12035,21676,4,12734,22708,4,13003,22812
211,6,12870,22752,6,12577,22752,6,14186,24304,6,13997,24420
212,6,12690,22580,6,12484,22568,6,13914,24028,6,13812,24122
213,5,12797,22744,5,12569,22742,5,14047,24211,5,13929,24335
