index,dp_calls,literal_iteration,literal_search
863,4,12324,22484
864,6,12768,22736
865,4,11844,21644
866,5,12695,22702
867,6,12867,22746
868,6,12765,22730
869,6,12826,22664
870,5,12742,22634
871,5,12797,22744
872,4,12167,22196
873,5,12673,22658
874,5,12833,22816
875,6,12955,22922
876,4,12196,22228
877,4,12187,22236
878,4,12258,22352
879,4,12090,22136
880,6,12885,22686
881,4,12210,22256
882,4,12208,22278
883,4,12168,22198
884,6,12855,22910
885,4,12306,22248
886,4,12260,22356
887,5,12088,22000
888,6,12866,22744
889,4,12398,22632
890,4,12338,22512
891,6,12839,22690
892,6,12872,22756
893,4,12208,22278
894,6,12896,22804
895,6,12908,22828
896,5,12099,22022
897,4,11771,21498
898,4,12202,22266
899,6,12904,22820
900,6,12922,22760
901,5,12780,22710
902,6,12801,22802
903,6,12848,22708
904,5,12129,22082
905,4,12211,22284
906,6,12843,22698
907,6,12900,22716
908,6,12641,22482
909,4,12305,22446
910,6,12829,22574
911,6,12611,22422
912,6,12876,22764
913,5,12590,22492
914,6,12871,22754
915,6,12877,22670
916,6,12786,22584
917,6,12842,22696
918,4,12139,22140
919,4,12177,22310
920,6,12869,22750
921,6,12822,22560
922,6,12894,22800
923,5,12142,22108
924,5,11979,21782
925,6,12794,22788
926,6,12682,22564
927,6,12888,22788
928,4,12315,22266
929,5,12791,22732
930,4,12190,22326
931,6,12888,22788
932,6,12968,22852
933,6,12663,22526
934,5,12133,22090
935,6,12944,22804
936,4,12127,22210
937,6,12900,22716
938,4,12174,22184
939,5,12802,22754
940,4,12221,22078
941,6,12764,22728
942,4,12184,22230
943,4,12149,22254
944,6,12817,22646
945,6,12906,22728
946,4,12152,22166
947,6,12653,22506
948,6,12925,22766
949,4,12360,22556
950,4,12300,22436
951,4,12200,22262
952,5,12585,22482
953,5,12592,22496
954,6,12909,22830
955,4,12220,22076
956,5,12830,22810
957,6,12763,22726
958,4,12166,22168
959,5,12795,22740
960,6,12831,22674
961,6,12706,22612
962,5,11997,21818
963,5,12131,22086
964,6,12946,22904
965,4,12172,22206
966,4,12177,22310
967,6,12856,22628
968,6,12933,22878
969,5,12779,22708
970,4,12175,22212
971,4,12390,22616
972,5,11977,21778
973,6,12931,22874
974,5,12796,22742
975,4,12131,22218
976,4,12318,22472
977,4,12228,22412
978,4,12338,22512
979,6,12842,22600
980,4,12207,22360
981,5,12761,22672
982,5,12531,22374
983,4,12137,22136
984,4,12176,22214
985,4,12181,22198
986,4,12250,22336
987,4,12345,22526
988,5,12133,22090
989,5,12692,22696
990,6,12599,22398
991,6,12779,22570
992,6,12753,22706
993,4,12031,22008
994,4,12212,22286
995,4,12179,22220
996,4,12297,22430
997,4,12376,22588
998,6,12914,22744
999,6,12821,22654
